	res_simple	time_simple	res_fixed	time_fixed	res_adaptive	time_adaptive
74	(2.0628827090616224+1.7626791528396346j)	0.0021209716796875	(0.7031569733899625+0.7364365756301854j)	0.0756688117980957	(0.7026428950929989+0.7367389260372107j)	0.2641580104827881
75	(0.32373832327656016+1.5595234311374497j)	0.001850128173828125	(0.660913389670773+0.6508147613657979j)	0.08067107200622559	(0.6608969915274076+0.650861468437693j)	0.26529526710510254
76	(0.19291220939492626+0.9077092203571856j)	0.0027039051055908203	(0.6240575711997928+0.5624560121453741j)	0.07679891586303711	(0.6237734386536092+0.5619386080092669j)	0.2603631019592285
77	(1.4944644898178472+2.3396229697985857j)	0.002398967742919922	(0.5927223897754935+0.47174329622608496j)	0.07968306541442871	(0.5927577641940698+0.47175148238973874j)	0.2639169692993164
78	(1.206785485480074-0.272401407531875j)	0.0021338462829589844	(0.5670911836306661+0.37902097389536216j)	0.07843875885009766	(0.567606895935013+0.3787768857558925j)	0.26114916801452637
79	(-0.6039937399719181+1.0229613135948095j)	0.0032172203063964844	(0.547275725717795+0.2846686200472622j)	0.07912278175354004	(0.5472376885856887+0.284786764867158j)	0.27436304092407227
80	(1.1828451932572324+0.8755039267981786j)	0.0019500255584716797	(0.5334022462985495+0.18903432450694277j)	0.07977175712585449	(0.5336131066631985+0.18954542106094413j)	0.2655470371246338
81	(0.7961848704426897-0.1035418287699909j)	0.0028281211853027344	(0.5255444181839175+0.09255020964405807j)	0.07808899879455566	(0.5253311232602319+0.0924595804956281j)	0.2626039981842041
82	(-2.5794415586497315-2.2017550960879184j)	0.0022389888763427734	(0.5237331260335321-0.0044621698508420515j)	0.07908296585083008	(0.5232547987881578-0.004276593999486739j)	0.2643887996673584
83	(3.420613489301345-0.09427244318121741j)	0.002439260482788086	(0.5280196736335548-0.10153648545202235j)	0.08013701438903809	(0.5281414862756213-0.10181551392451471j)	0.2645859718322754
84	(0.6500325521976931-2.060201090047256j)	0.002640962600708008	(0.5384122295509038-0.1983626102496445j)	0.07840895652770996	(0.5382654527778751-0.1987831976307168j)	0.2634439468383789
85	(0.344915698297913-0.1847823555841666j)	0.0028069019317626953	(0.5548687298431711-0.2944835816333403j)	0.07967019081115723	(0.5551911575618657-0.29431563305615105j)	0.26796603202819824
86	(1.0082423054926173-0.9064927841419981j)	0.0024688243865966797	(0.5773699866943492-0.38955289731728715j)	0.07675909996032715	(0.5777374310117998-0.38965030819614177j)	0.2669789791107178
87	(5.046181070920658+11.50174839166992j)	0.0024619102478027344	(0.6058388951049075-0.4831583415303722j)	0.07768702507019043	(0.6067715597027222-0.4839868970168256j)	0.24674296379089355
88	(5.941648507219056+2.9831226251332863j)	0.0018198490142822266	(0.6401725443539531-0.5749141857248186j)	0.08118081092834473	(0.6402325061913658-0.5746240723571472j)	0.2635819911956787
89	(3.259263540563566+2.6284952317835284j)	0.0027370452880859375	(0.6802534393147301-0.6644753741254553j)	0.0798940658569336	(0.6798515424949034-0.6647344656108761j)	0.260897159576416
90	(0.059060383419737315-0.1335042524528051j)	0.002641916275024414	(0.7259140188974602-0.7514280923338653j)	0.0768899917602539	(0.7256949133628707-0.7514050120618139j)	0.2658810615539551
91	(0.6955047431761431-1.0179302186739j)	0.004201173782348633	(0.7770006911967977-0.8354812864669118j)	0.07682394981384277	(0.7773141042256435-0.8358799380389706j)	0.26447606086730957
92	(-1.3023071106007378-1.926108023029018j)	0.0033080577850341797	(0.8333438052677945-0.9162178166730228j)	0.07789373397827148	(0.833335558326679-0.9163645008556308j)	0.2643091678619385
93	(6.64127357190015+2.638162740377351j)	0.002672910690307617	(0.894705508590073-0.9933753552987986j)	0.0782618522644043	(0.8951139978003358-0.9930383623603712j)	0.26685595512390137
94	(-0.03816923824639673-5.4495064363211405j)	0.0029802322387695312	(0.9608499550137808-1.066570803229722j)	0.0750730037689209	(0.9609057172832571-1.0665760749247313j)	0.2655661106109619
95	(22.01532526683572-10.331820209607892j)	0.0024759769439697266	(1.031530643187488-1.1355428823328861j)	0.08507990837097168	(1.0311823529156126-1.1351556255907678j)	0.2630288600921631
96	(-3.084697539548616-3.1590506379472494j)	0.0046541690826416016	(1.1064554606594936-1.1999986063417867j)	0.07197999954223633	(1.1064580357129417-1.2000350664459005j)	0.26312923431396484
97	(0.836883213982837-2.714683257862789j)	0.0024619102478027344	(1.1853438470488808-1.2596591178115317j)	0.08704590797424316	(1.1849845563752306-1.2600236790693362j)	0.26275014877319336
98	(-0.44738822781514453-1.721807151717858j)	0.00498509407043457	(1.2678956495652174-1.314292502530212j)	0.07499003410339355	(1.2680102465347498-1.3143009189325414j)	0.2622530460357666
99	(1.769273366299016-1.4193548926631732j)	0.002074003219604492	(1.3537672758176544-1.3636856503735257j)	0.07872986793518066	(1.354109361572211-1.3640105540853376j)	0.26676177978515625
100	(1.659256400616365-1.6037012600491198j)	0.0033941268920898438	(1.4426046536077015-1.407609200920806j)	0.07750773429870605	(1.4425926728572436-1.4073946018247272j)	0.2625551223754883
101	(2.170666823450812-0.15860332931808407j)	0.002710103988647461	(1.534076227719146-1.445867644296367j)	0.07866096496582031	(1.5343771080788526-1.4455217926324477j)	0.2637331485748291
