	res_simple	time_simple	res_fixed	time_fixed	res_adaptive	time_adaptive
55	(2.1638896365190403+1.514300517891737j)	0.0027348995208740234	(2.1599863294868906+1.5136509999989842j)	0.0826418399810791	(2.1598569267278567+1.5130103553210141j)	0.29552316665649414
56	(2.11007053602332+1.5166195957062731j)	0.0050122737884521484	(2.0714011285300926+1.5213946541431018j)	0.07965826988220215	(2.071352805859687+1.5213572129169333j)	0.29804325103759766
57	(1.7669785426007532+2.501583647185103j)	0.00403904914855957	(1.9821172933223112+1.5234819314557695j)	0.08371090888977051	(1.9827718865103694+1.523396631741185j)	0.29363322257995605
58	(1.929582643887823+1.6480015417121936j)	0.00391697883605957	(1.892421987258646+1.51989612334991j)	0.08425021171569824	(1.8923963537552995+1.5199110189849736j)	0.28730010986328125
59	(-8.084338182522348-67.13745966865994j)	0.005448102951049805	(1.802717498634959+1.5105493632649973j)	0.0872490406036377	(1.8027880053018188+1.5112015014978337j)	0.29015398025512695
60	(1.7949670083475968+1.4200813949097237j)	0.0026340484619140625	(1.7134022442772896+1.4954761620013792j)	0.08048820495605469	(1.7132959906735639+1.495384254516841j)	0.2972278594970703
61	(1.6288897983338724+1.4786054397590171j)	0.0034470558166503906	(1.6248347787077022+1.474689491068935j)	0.08463835716247559	(1.624206933444842+1.4747189339300424j)	0.30856919288635254
62	(1.6616871567847957+1.4428462704889187j)	0.0028388500213623047	(1.5373680569788752+1.4482322252020174j)	0.10582804679870605	(1.5375418342048943+1.44804820641743j)	0.3008849620819092
63	(2.80010514935795+1.9280836920133493j)	0.002827882766723633	(1.451411050107749+1.4161404931374866j)	0.08085370063781738	(1.451415141677974+1.415582050219597j)	0.29013800621032715
64	(1.0019357969340619+3.403628216816155j)	0.004065990447998047	(1.3673394027960666+1.3785696561097578j)	0.08269190788269043	(1.3675520895679705+1.3788113745433423j)	0.3010129928588867
65	(1.3223738140041637+0.5490741701592047j)	0.002302885055541992	(1.2854449113261086+1.3356123312887513j)	0.08405399322509766	(1.2859555287805602+1.3356149016316272j)	0.28855204582214355
